DATE,PERIOD,R,PLANETDISCMETH,numPlanets
2016,15.0217983,0.126,Transit,1
2011,0.45328509,0.0650682,Transit,1
2016,16.75255007,0.133,Transit,1
2016,29.3494775,0.181,Transit,1
2016,19.80792185,0.221,Transit,1
2014,35.676062,0.297083,Transit,1
2011,7.8773565,0.187182,Transit,1
2016,1.00520701,0.097,Transit,1
2005,3.10129,1.25,Transit,1
2014,4.57953,0.14185,Transit,1
2016,5.37886844,0.17,Transit,1
2016,2.68505749,0.118,Transit,1
2016,71.4517775,0.19,Transit,1
2016,8.67888593,0.205,Transit,1
2007,5.6334729,1.157,Transit,1
2010,3.35524,1.242,Transit,1
2016,4.75793986,0.151,Transit,1
2014,7.8914483,1.15,Transit,1
2014,13.821375,0.156125,Transit,1
2016,3.85691855,0.09,Transit,1
2016,133.3036741,0.241,Transit,1
2016,47.9872764,0.246,Transit,1
2014,20.303005,0.175752,Transit,1
2014,4.662715,0.420198,Transit,1
2015,2.7347749,1.533,Transit,1
2016,2.22649109,0.214,Transit,1
2016,2.53573424,0.109,Transit,1
2016,19.1187753,0.158,Transit,1
2011,19.57706,0.0918085,Transit,1
2014,17.790037,0.251584,Transit,1
2016,0.63133235,0.13,Transit,1
2014,7.693641,0.209653,Transit,1
2014,7.055679,0.198947,Transit,1
2011,18.6489525,0.257599,Transit,1
2011,10.3039,0.1604,Transit,1
2011,13.722341,0.199661,Transit,1
2011,31.3309,0.436759,Transit,1
2016,8.05333618,0.099,Transit,1
2014,5.690586,0.261397,Transit,1
2013,2.07276,1.13,Transit,1
2010,4.885525,1.478,Transit,1
2016,30.36044667,0.981,Transit,1
2010,2.3412127,1.3,Transit,1
2011,5.723186,1.107,Transit,1
2012,105.595,0.387735,Transit,1
2016,4.14702026,0.624,Transit,1
2014,12.610584,0.136497,Transit,1
2016,6.77408868,0.238,Transit,1
2014,52.09059,0.653,Transit,1
2014,125.596809,0.263181,Transit,1
2016,11.12830484,0.439,Transit,1
2016,4.301662,0.219,Transit,1
2016,65.6478424,0.198,Transit,1
2010,4.8878162,0.422,Transit,1
2014,2.42629,0.127576,Transit,1
2014,4.166972,0.208761,Transit,1
2016,40.6994443,0.333,Transit,1
2014,8.25978,0.120439,Transit,1
2016,42.913751,0.241,Transit,1
2014,6.252972,0.196271,Transit,1
2016,6.07972888,0.163,Transit,1
2014,10.104665,0.120439,Transit,1
2016,1.31155557,0.113,Transit,1
2016,8.1934719,0.136,Transit,1
2014,2.50806,0.313113,Transit,1
2014,8.990889,0.231956,Transit,1
2014,17.934937,0.122223,Transit,1
2016,26.0840594,0.154,Transit,1
2014,33.197861,0.164154,Transit,1
2016,7.20283653,0.329,Transit,1
2016,3.744439,0.097,Transit,1
2014,46.827915,0.215006,Transit,1
2014,18.746477,0.223035,Transit,1
2016,2.82019241,0.213,Transit,1
2012,3.89713,1.29,Transit,1
2014,40.806231,0.297083,Transit,1
2016,25.85501786,0.231,Transit,1
2016,3.70598955,0.238,Transit,1
2016,84.5733226,0.255,Transit,1
2014,12.465988,0.523686,Transit,1
2014,2.024152,0.177536,Transit,1
2016,54.5094166,0.153,Transit,1
2016,51.84688575,0.774,Transit,1
2016,1.10446351,0.151,Transit,1
2014,7.953528,0.196271,Transit,1
2016,13.24934059,0.24,Transit,1
2014,10.475464,0.174859,Transit,1
